timestamp,time,underlying_price,strike,type,bid_px,ask_px,trade_px,OI,delta,volatility,gamma,theta,vega,days_to_expiry,intrinsic_value,time_value,days_to_expiry
1567575660100000000,11:11:00.100000000,2685388.1759,2570000.0000,put,470.0000,480.0000,480.0000,58080.0000,-0.0300,0.3858,0.0001,-12.9000,78.8792,1.1799,0.0000,480.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2580000.0000,put,590.0000,605.0000,590.0000,73080.0000,-0.0300,0.3705,0.0001,-15.1000,96.3766,1.1799,0.0000,590.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2590000.0000,put,790.0000,810.0000,795.0000,106700.0000,-0.0400,0.3586,0.0001,-18.4000,121.9224,1.1799,0.0000,795.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2600000.0000,call,86840.0000,87865.0000,87980.0000,2880.0000,0.9400,0.3696,0.0002,-32.4000,181.0766,1.1799,85388.1759,2591.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2600000.0000,put,1140.0000,1150.0000,1155.0000,441200.0000,-0.0600,0.3511,0.0002,-23.5000,159.0654,1.1799,0.0000,1155.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2610000.0000,call,75825.0000,79070.0000,81035.0000,20.0000,0.9300,0.3397,0.0003,-32.8000,199.5655,1.1799,75388.1759,5646.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2610000.0000,put,1615.0000,1635.0000,1635.0000,191340.0000,-0.0700,0.3433,0.0003,-29.4000,204.1464,1.1799,0.0000,1635.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2620000.0000,call,67015.0000,71335.0000,71370.0000,640.0000,0.8800,0.3708,0.0003,-51.0000,300.4349,1.1800,65388.1759,5981.8241,1.1800
1567575660100000000,11:11:00.100000000,2685388.1759,2620000.0000,put,2350.0000,2375.0000,2370.0000,401180.0000,-0.1000,0.3383,0.0003,-37.1000,261.1369,1.1799,0.0000,2370.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2630000.0000,call,59055.0000,60315.0000,61950.0000,2500.0000,0.8600,0.3453,0.0004,-53.4000,339.4902,1.1799,55388.1759,6561.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2630000.0000,put,3345.0000,3370.0000,3365.0000,306780.0000,-0.1400,0.3324,0.0004,-45.2000,324.3849,1.1799,0.0000,3365.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2640000.0000,call,50900.0000,51280.0000,51000.0000,4680.0000,0.8100,0.3386,0.0005,-61.6000,404.3782,1.1799,45388.1759,5611.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2640000.0000,put,4720.0000,4760.0000,4765.0000,358540.0000,-0.1800,0.3273,0.0005,-53.8000,393.1670,1.1799,0.0000,4765.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2650000.0000,call,42540.0000,42790.0000,42510.0000,52300.0000,0.7600,0.3262,0.0006,-67.6000,464.8844,1.1799,35388.1759,7121.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2650000.0000,put,6520.0000,6555.0000,6540.0000,897540.0000,-0.2300,0.3213,0.0006,-61.8000,461.1614,1.1799,0.0000,6540.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2660000.0000,call,35090.0000,35255.0000,35255.0000,43160.0000,0.7000,0.3225,0.0007,-75.2000,527.1068,1.1799,25388.1759,9866.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2660000.0000,put,8865.0000,8920.0000,8905.0000,420940.0000,-0.3000,0.3154,0.0007,-68.8000,523.7360,1.1799,0.0000,8905.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2670000.0000,call,28100.0000,28235.0000,28330.0000,99540.0000,0.6300,0.3157,0.0008,-79.7000,574.9053,1.1799,15388.1759,12941.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2670000.0000,put,11830.0000,11900.0000,11820.0000,578060.0000,-0.3700,0.3088,0.0008,-73.5000,573.4869,1.1799,0.0000,11820.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2680000.0000,call,21935.0000,22045.0000,21950.0000,204440.0000,0.5500,0.3105,0.0008,-81.9000,603.6849,1.1799,5388.1759,16561.8241,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2680000.0000,put,15600.0000,15680.0000,15710.0000,404760.0000,-0.4500,0.3031,0.0009,-75.6000,603.4562,1.1799,0.0000,15710.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2690000.0000,call,16555.0000,16645.0000,16645.0000,239480.0000,0.4600,0.3047,0.0009,-80.5000,607.1927,1.1799,0.0000,16645.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2690000.0000,put,20260.0000,20345.0000,20355.0000,253700.0000,-0.5400,0.2983,0.0009,-74.4000,607.0923,1.1799,4611.8241,15743.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2700000.0000,call,12140.0000,12150.0000,12215.0000,849100.0000,0.3800,0.3002,0.0008,-75.8000,582.6411,1.1799,0.0000,12215.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2700000.0000,put,25675.0000,25795.0000,25800.0000,397380.0000,-0.6300,0.2917,0.0009,-69.1000,581.0165,1.1799,14611.8241,11188.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2710000.0000,call,8635.0000,8685.0000,8655.0000,415680.0000,0.3000,0.2979,0.0008,-68.6000,532.4331,1.1799,0.0000,8655.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2710000.0000,put,32265.0000,32450.0000,32390.0000,46760.0000,-0.7100,0.2906,0.0008,-62.0000,528.6691,1.1799,24611.8241,7778.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2720000.0000,call,5985.0000,6020.0000,6045.0000,613840.0000,0.2200,0.2967,0.0007,-59.3000,463.4554,1.1799,0.0000,6045.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2720000.0000,put,39525.0000,39875.0000,39275.0000,106700.0000,-0.7800,0.2883,0.0007,-52.2000,455.8453,1.1799,34611.8241,4663.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2730000.0000,call,4025.0000,4060.0000,4040.0000,534320.0000,0.1600,0.2962,0.0006,-49.1000,384.7252,1.1799,0.0000,4040.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2730000.0000,put,47040.0000,47775.0000,47600.0000,28500.0000,-0.8500,0.2769,0.0006,-38.4000,359.6844,1.1799,44611.8241,2988.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2740000.0000,call,2645.0000,2665.0000,2660.0000,465020.0000,0.1200,0.2964,0.0004,-39.0000,305.5510,1.1799,0.0000,2660.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2740000.0000,put,55775.0000,56490.0000,55380.0000,15040.0000,-0.9000,0.2756,0.0004,-28.0000,273.8476,1.1799,54611.8241,768.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2750000.0000,call,1770.0000,1790.0000,1775.0000,1316500.0000,0.0800,0.3006,0.0003,-30.7000,237.8912,1.1799,0.0000,1775.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2750000.0000,put,64985.0000,65450.0000,64810.0000,79620.0000,-0.9400,0.2707,0.0003,-17.7000,190.6030,1.1799,64611.8241,198.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2760000.0000,call,1100.0000,1110.0000,1100.0000,456600.0000,0.0500,0.3008,0.0002,-22.5000,174.1346,1.1799,0.0000,1100.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2770000.0000,call,715.0000,725.0000,720.0000,426440.0000,0.0300,0.3055,0.0002,-16.8000,128.0097,1.1799,0.0000,720.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2780000.0000,call,520.0000,530.0000,525.0000,399000.0000,0.0200,0.3165,0.0001,-13.5000,99.3703,1.1799,0.0000,525.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2790000.0000,call,410.0000,415.0000,410.0000,248140.0000,0.0200,0.3308,0.0001,-11.4000,80.4516,1.1799,0.0000,410.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2800000.0000,call,350.0000,355.0000,355.0000,858620.0000,0.0100,0.3486,0.0001,-10.3000,68.7185,1.1799,0.0000,355.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2810000.0000,call,295.0000,300.0000,295.0000,154800.0000,0.0100,0.3650,0.0001,-9.1000,58.3017,1.1799,0.0000,295.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2820000.0000,call,265.0000,270.0000,260.0000,210400.0000,0.0100,0.3838,0.0001,-8.5000,51.6451,1.1799,0.0000,260.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2830000.0000,call,240.0000,250.0000,245.0000,231440.0000,0.0100,0.4031,0.0000,-8.0000,46.4457,1.1799,0.0000,245.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2830000.0000,put,141595.0000,146340.0000,153430.0000,1160.0000,-1.0000,0.0001,0.0000,4.6000,0.0000,1.1799,144611.8241,8818.1759,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2840000.0000,call,215.0000,225.0000,220.0000,85040.0000,0.0100,0.4207,0.0000,-7.5000,41.2774,1.1799,0.0000,220.0000,1.1799
1567575660100000000,11:11:00.100000000,2685388.1759,2850000.0000,call,195.0000,200.0000,195.0000,362820.0000,0.0000,0.4378,0.0000,-6.9000,36.7371,1.1799,0.0000,195.0000,1.1799
